CASC,Long March 2D | Yunhai-1-02,StatusActive,29.75 ,Success,2019,Sep,Wed,25,54.0,China
MHI,H-IIB | HTV-8,StatusRetired,112.5 ,Success,2019,Sep,Tue,24,965.0,Japan
CASC,Long March 3B/YZ-1 | BeiDou-3 M23 & M24,StatusActive,nan,Success,2019,Sep,Sun,22,1270.0,China
CASC,Long March 11 | Zhuhai-1 Group 03,StatusActive,5.3 ,Success,2019,Sep,Thu,19,402.0,China
CASC,"Long March 4B | Ziyuan-2D, BNU-1 & Taurus-1",StatusActive,64.68 ,Success,2019,Sep,Thu,12,206.0,China
ExPace,Kuaizhou 1A | KX-09 & Others,StatusActive,nan,Success,2019,Aug,Fri,30,1421.0,China
VKS RF,Rokot/Briz KM | Cosmos 2540,StatusRetired,41.8 ,Success,2019,Aug,Fri,30,840.0,Russia
ISA,Safir-1B+ | Nahid-1,StatusActive,nan,Prelaunch Failure,2019,Aug,Thu,29,nan,Iran
ULA,"Delta IV Medium+ (4,2) | GPS III SV02",StatusRetired,164.0 ,Success,2019,Aug,Thu,22,786.0,USA
Roscosmos,Soyuz 2.1a | Soyuz MS-14 (60S),StatusActive,48.5 ,Success,2019,Aug,Thu,22,218.0,Kazakhstan
Rocket Lab,"Electron/Curie | Look Ma, No Hands!",StatusActive,7.5 ,Success,2019,Aug,Mon,19,732.0,New Zealand
CASC,Long March 3B/E | ChinaSat 18,StatusActive,29.15 ,Success,2019,Aug,Mon,19,723.0,China
CASC,Jielong-1 | Tianqi-4 & Others,StatusActive,7.5 ,Success,2019,Aug,Sat,17,251.0,China
ULA,Atlas V 551 | AEHF 5,StatusActive,153.0 ,Success,2019,Aug,Thu,8,613.0,USA
SpaceX,Falcon 9 Block 5 | AMOS-17,StatusActive,50.0 ,Success,2019,Aug,Tue,6,1403.0,USA
Arianespace,Ariane 5 ECA | EDRS-C/HYLAS 3 & Intelsat 39,StatusActive,200.0 ,Success,2019,Aug,Tue,6,1170.0,France
Roscosmos,Proton-M/Briz-M | Cosmos 2539,StatusActive,65.0 ,Success,2019,Aug,Mon,5,1316.0,Kazakhstan
Roscosmos,Soyuz 2.1a | Progress MS-12,StatusActive,48.5 ,Success,2019,Jul,Wed,31,730.0,Kazakhstan
VKS RF,Soyuz 2.1a/Fregat-M | Meridian-M n†­18L,StatusActive,48.5 ,Success,2019,Jul,Tue,30,356.0,Russia
CASC,Long March 2C | Yaogan-30-05,StatusActive,30.8 ,Success,2019,Jul,Fri,26,237.0,China
SpaceX,Falcon 9 Block 5 | CRS-18,StatusActive,50.0 ,Success,2019,Jul,Thu,25,1321.0,USA
i-Space,Hyperbola-1 | CAS-7B & Others,StatusActive,nan,Success,2019,Jul,Thu,25,300.0,China
ISRO,GSLV Mk III | Chandrayaan-2 lunar mission,StatusActive,62.0 ,Success,2019,Jul,Mon,22,553.0,India
